(10000, 24, 130, 10, 25)
(10001, 125, 133, 12, 1)
(10002, 73, 132, 8, 27)
(10003, 65, 77, 14, 3)
(10004, 123, 117, 4, 29)
(10005, 89, 135, 10, 18)
(10006, 44, 24, 8, 3)
(10007, 87, 55, 14, 5)
(10008, 116, 51, 4, 21)
(10009, 26, 55, 12, 18)
(10010, 85, 117, 8, 29)
(10011, 18, 93, 8, 22)
(10012, 34, 100, 14, 15)
(10013, 87, 114, 14, 15)
(10014, 102, 86, 14, 26)
(10015, 30, 110, 4, 24)
(10016, 131, 112, 8, 13)
(10017, 74, 100, 12, 2)
(10018, 87, 113, 4, 18)
(10019, 104, 17, 16, 3)
(10020, 76, 22, 6, 12)
(10021, 116, 55, 12, 9)
(10022, 76, 22, 6, 4)
(10023, 96, 132, 6, 18)
(10024, 41, 132, 4, 12)
(10025, 3, 122, 4, 13)
(10026, 37, 18, 10, 25)
(10027, 54, 132, 14, 18)
(10028, 57, 117, 12, 25)
(10029, 100, 74, 10, 14)
(10030, 45, 125, 6, 5)
(10031, 113, 87, 12, 12)
(10032, 37, 13, 8, 23)
(10033, 112, 101, 16, 28)
(10034, 109, 112, 6, 9)
(10035, 31, 24, 8, 27)
(10036, 131, 112, 4, 16)
(10037, 61, 104, 16, 22)
(10038, 24, 55, 16, 2)
(10039, 132, 62, 10, 29)
(10040, 28, 118, 14, 19)
(10041, 109, 127, 8, 21)
(10042, 48, 55, 8, 5)
(10043, 119, 142, 14, 17)
(10044, 26, 113, 16, 12)
(10045, 45, 79, 10, 15)
(10046, 70, 64, 16, 4)
(10047, 111, 135, 6, 16)
(10048, 115, 55, 6, 16)
(10049, 73, 100, 4, 28)
(10050, 139, 13, 4, 14)
(10051, 65, 77, 16, 19)
(10052, 80, 18, 10, 15)
(10053, 81, 139, 4, 8)
(10054, 107, 125, 8, 6)
(10055, 10, 95, 16, 9)
(10056, 84, 104, 4, 9)
(10057, 32, 64, 14, 8)
(10058, 29, 75, 8, 27)
(10059, 13, 126, 8, 21)
(10060, 63, 67, 4, 7)
(10061, 30, 109, 16, 28)
(10062, 99, 76, 16, 10)
(10063, 29, 112, 10, 4)
(10064, 115, 55, 12, 1)
(10065, 11, 133, 14, 13)
(10066, 104, 33, 8, 29)
(10067, 128, 55, 6, 2)
(10068, 99, 59, 16, 16)
(10069, 89, 55, 8, 8)
(10070, 77, 93, 14, 11)
(10071, 29, 74, 8, 15)
(10072, 9, 75, 10, 12)
(10073, 17, 112, 12, 5)
(10074, 59, 36, 14, 26)
(10075, 135, 56, 12, 10)
(10076, 36, 135, 12, 1)
(10077, 56, 55, 12, 28)
(10078, 101, 58, 16, 8)
(10079, 12, 118, 4, 25)
(10080, 12, 125, 4, 19)
(10081, 122, 82, 4, 4)
(10082, 78, 80, 8, 9)
(10083, 130, 142, 6, 20)
(10084, 12, 118, 4, 16)
(10085, 90, 5, 12, 20)
(10086, 15, 36, 10, 15)
(10087, 7, 127, 8, 13)
(10088, 115, 133, 6, 8)
(10089, 46, 135, 6, 2)
(10090, 125, 113, 6, 25)
(10091, 112, 8, 14, 7)
(10092, 134, 117, 4, 26)
(10093, 116, 76, 10, 14)
(10094, 99, 133, 16, 18)
(10095, 131, 112, 8, 16)
(10096, 27, 33, 10, 9)
(10097, 49, 133, 14, 12)
(10098, 68, 62, 4, 6)
(10099, 139, 104, 4, 18)
(10100, 19, 122, 4, 16)
(10101, 59, 56, 14, 19)
(10102, 106, 67, 4, 1)
(10103, 27, 33, 12, 24)
(10104, 7, 106, 4, 25)
(10105, 20, 58, 14, 26)
(10106, 62, 110, 4, 14)
(10107, 64, 13, 12, 23)
(10108, 2, 112, 4, 9)
(10109, 121, 86, 4, 6)
(10110, 99, 121, 6, 9)
(10111, 133, 115, 6, 25)
(10112, 137, 112, 12, 23)
(10113, 86, 133, 8, 12)
(10114, 76, 118, 14, 4)
(10115, 33, 74, 16, 7)
(10116, 63, 35, 10, 15)
(10117, 8, 112, 12, 29)
(10118, 87, 92, 4, 15)
(10119, 92, 26, 12, 19)
(10120, 22, 136, 12, 13)
(10121, 120, 35, 6, 22)
(10122, 23, 122, 6, 7)
(10123, 58, 33, 12, 18)
(10124, 83, 51, 16, 23)
(10125, 142, 52, 14, 8)
(10126, 71, 81, 4, 26)
(10127, 92, 87, 10, 12)
(10128, 124, 112, 14, 13)
(10129, 136, 125, 10, 5)
(10130, 104, 17, 16, 29)
(10131, 23, 49, 8, 9)
(10132, 48, 55, 10, 23)
(10133, 113, 90, 8, 20)
(10134, 63, 35, 8, 23)
(10135, 98, 135, 14, 9)
(10136, 58, 17, 4, 2)
(10137, 33, 104, 4, 7)
(10138, 82, 91, 14, 17)
(10139, 132, 18, 10, 26)
(10140, 90, 92, 4, 15)
(10141, 140, 13, 10, 16)
(10142, 124, 62, 12, 13)
(10143, 19, 122, 16, 27)
(10144, 19, 90, 12, 27)
(10145, 92, 4, 4, 27)
(10146, 83, 55, 10, 13)
(10147, 31, 24, 8, 28)
(10148, 24, 92, 4, 7)
(10149, 89, 135, 8, 1)
(10150, 84, 62, 16, 27)
(10151, 6, 121, 16, 27)
(10152, 136, 95, 8, 21)
(10153, 24, 59, 4, 5)
(10154, 37, 18, 4, 28)
(10155, 50, 136, 12, 24)
(10156, 30, 126, 12, 10)
(10157, 114, 95, 12, 27)
(10158, 110, 127, 14, 11)
(10159, 65, 129, 6, 11)
(10160, 38, 80, 10, 12)
(10161, 34, 139, 4, 26)
(10162, 72, 26, 12, 13)
(10163, 62, 100, 10, 13)
(10164, 60, 117, 12, 11)
(10165, 34, 71, 10, 9)
(10166, 137, 85, 8, 8)
(10167, 58, 7, 8, 12)
(10168, 134, 33, 16, 22)
(10169, 121, 6, 6, 15)
(10170, 134, 117, 16, 4)
(10171, 138, 119, 12, 17)
(10172, 103, 126, 12, 21)
(10173, 44, 4, 16, 2)
(10174, 131, 112, 16, 3)
(10175, 126, 74, 8, 26)
(10176, 85, 126, 16, 3)
(10177, 131, 112, 4, 3)
(10178, 28, 90, 14, 12)
(10179, 1, 81, 8, 14)
(10180, 79, 107, 6, 24)
(10181, 30, 117, 4, 5)
(10182, 3, 122, 10, 4)
(10183, 122, 135, 10, 23)
(10184, 52, 90, 14, 10)
(10185, 142, 72, 8, 17)
(10186, 34, 71, 8, 28)
(10187, 58, 65, 16, 13)
(10188, 134, 117, 6, 29)
(10189, 27, 117, 10, 2)
(10190, 23, 122, 6, 26)
(10191, 116, 76, 6, 22)
(10192, 6, 133, 14, 20)
(10193, 60, 132, 4, 7)
(10194, 50, 59, 12, 5)
(10195, 40, 117, 4, 11)
(10196, 53, 112, 8, 26)
(10197, 29, 112, 8, 12)
(10198, 50, 72, 14, 4)
(10199, 110, 62, 16, 23)
(10200, 28, 118, 16, 15)
(10201, 47, 24, 16, 11)
(10202, 13, 37, 4, 10)
(10203, 114, 90, 10, 10)
(10204, 40, 132, 10, 21)
(10205, 71, 127, 10, 6)
(10206, 124, 112, 14, 10)
(10207, 73, 100, 8, 2)
(10208, 110, 30, 10, 7)
(10209, 121, 24, 12, 17)
(10210, 18, 100, 14, 18)
(10211, 126, 70, 14, 22)
(10212, 3, 95, 12, 13)
(10213, 105, 133, 16, 22)
(10214, 21, 125, 8, 28)
(10215, 79, 44, 14, 1)
(10216, 117, 60, 14, 17)
(10217, 45, 79, 10, 6)
(10218, 133, 4, 16, 24)
(10219, 112, 131, 6, 20)
(10220, 10, 95, 10, 7)
(10221, 45, 142, 6, 20)
(10222, 120, 132, 10, 6)
(10223, 84, 62, 14, 26)
(10224, 61, 62, 14, 25)
(10225, 74, 132, 14, 13)
(10226, 30, 117, 10, 5)
(10227, 139, 73, 12, 4)
(10228, 54, 80, 8, 3)
(10229, 76, 138, 12, 28)
(10230, 114, 95, 16, 9)
(10231, 74, 100, 4, 16)
(10232, 34, 33, 4, 23)
(10233, 4, 130, 16, 10)
(10234, 97, 51, 4, 5)
(10235, 72, 79, 10, 26)
(10236, 127, 126, 14, 9)
(10237, 116, 76, 12, 13)
(10238, 130, 95, 4, 24)
(10239, 4, 72, 12, 20)
(10240, 2, 70, 10, 23)
(10241, 114, 79, 12, 21)
(10242, 87, 55, 4, 20)
(10243, 66, 24, 10, 16)
(10244, 30, 132, 16, 9)
(10245, 24, 113, 12, 10)
(10246, 71, 30, 6, 9)
(10247, 124, 112, 14, 23)
(10248, 14, 29, 16, 13)
(10249, 16, 99, 6, 2)
(10250, 128, 135, 12, 6)
(10251, 29, 62, 8, 4)
(10252, 48, 55, 4, 23)
(10253, 104, 67, 12, 20)
(10254, 111, 55, 14, 6)
(10255, 89, 55, 8, 18)
(10256, 91, 102, 8, 3)
(10257, 76, 4, 6, 16)
(10258, 64, 70, 8, 21)
(10259, 27, 117, 10, 18)
(10260, 44, 24, 12, 21)
(10261, 65, 58, 14, 5)
(10262, 15, 118, 16, 11)
(10263, 90, 52, 12, 7)
(10264, 117, 63, 14, 17)
(10265, 101, 112, 10, 27)
(10266, 87, 82, 16, 14)
(10267, 26, 76, 12, 15)
(10268, 114, 24, 10, 17)
(10269, 16, 24, 16, 22)
(10270, 110, 18, 14, 9)
(10271, 103, 80, 16, 22)
(10272, 61, 62, 8, 9)
(10273, 22, 72, 10, 22)
(10274, 113, 43, 10, 19)
(10275, 131, 112, 8, 21)
(10276, 103, 117, 12, 22)
(10277, 140, 77, 12, 10)
(10278, 12, 86, 16, 19)
(10279, 83, 55, 4, 22)
(10280, 31, 24, 12, 4)
(10281, 99, 66, 14, 11)
(10282, 17, 112, 6, 3)
(10283, 85, 110, 10, 11)
(10284, 58, 33, 8, 1)
(10285, 6, 121, 10, 21)
(10286, 43, 21, 8, 4)
(10287, 11, 82, 8, 7)
(10288, 67, 38, 10, 28)
(10289, 67, 70, 8, 1)
(10290, 112, 68, 12, 14)
(10291, 86, 102, 12, 22)
(10292, 85, 29, 6, 19)
(10293, 28, 118, 4, 19)
(10294, 22, 55, 12, 18)
(10295, 51, 105, 6, 22)
(10296, 74, 80, 8, 5)
(10297, 79, 107, 8, 7)
(10298, 62, 7, 14, 16)
(10299, 26, 135, 6, 20)
(10300, 85, 94, 14, 23)
(10301, 109, 74, 10, 21)
(10302, 120, 132, 6, 2)
(10303, 14, 100, 8, 18)
(10304, 67, 62, 4, 7)
(10305, 28, 118, 12, 16)
(10306, 37, 129, 4, 9)
(10307, 37, 104, 16, 3)
(10308, 8, 112, 10, 6)
(10309, 19, 122, 4, 23)
(10310, 66, 142, 12, 26)
(10311, 140, 63, 16, 11)
(10312, 37, 62, 16, 8)
(10313, 35, 81, 8, 12)
(10314, 75, 29, 10, 13)
(10315, 56, 135, 6, 18)
(10316, 48, 55, 6, 9)
(10317, 68, 70, 14, 16)
(10318, 86, 5, 14, 12)
(10319, 58, 117, 8, 3)
(10320, 127, 84, 12, 26)
(10321, 29, 25, 16, 20)
(10322, 4, 21, 16, 24)
(10323, 112, 101, 14, 18)
(10324, 27, 132, 8, 20)
(10325, 137, 112, 14, 12)
(10326, 22, 45, 10, 16)
(10327, 125, 21, 16, 11)
(10328, 75, 29, 12, 12)
(10329, 64, 77, 6, 15)
(10330, 16, 99, 12, 3)
(10331, 131, 112, 4, 1)
(10332, 88, 118, 8, 15)
(10333, 67, 13, 8, 15)
(10334, 21, 98, 4, 23)
(10335, 28, 90, 10, 5)
(10336, 143, 118, 4, 4)
(10337, 88, 79, 14, 9)
(10338, 48, 55, 4, 11)
(10339, 63, 93, 6, 23)
(10340, 104, 141, 4, 22)
(10341, 6, 121, 14, 4)
(10342, 76, 22, 16, 15)
(10343, 49, 133, 16, 21)
(10344, 68, 112, 4, 19)
(10345, 21, 98, 6, 23)
(10346, 61, 77, 8, 17)
(10347, 108, 24, 12, 12)
(10348, 61, 104, 12, 13)
(10349, 33, 13, 10, 11)
(10350, 19, 90, 12, 9)
(10351, 88, 24, 12, 15)
(10352, 109, 25, 14, 4)
(10353, 19, 122, 16, 14)
(10354, 141, 34, 8, 7)
(10355, 1, 18, 6, 23)
(10356, 93, 69, 10, 21)
(10357, 90, 31, 6, 2)
(10358, 57, 117, 16, 12)
(10359, 143, 118, 12, 25)
(10360, 67, 58, 6, 27)
(10361, 142, 130, 4, 14)
(10362, 97, 72, 10, 11)
(10363, 95, 114, 8, 19)
(10364, 9, 85, 10, 22)
(10365, 28, 118, 8, 21)
(10366, 89, 135, 4, 20)
(10367, 140, 127, 10, 10)
(10368, 32, 117, 16, 6)
(10369, 97, 136, 6, 7)
(10370, 28, 118, 14, 2)
(10371, 121, 99, 14, 8)
(10372, 86, 16, 14, 5)
(10373, 12, 86, 10, 13)
(10374, 3, 118, 8, 10)
(10375, 85, 37, 6, 29)
(10376, 128, 135, 6, 26)
(10377, 16, 122, 4, 19)
(10378, 68, 70, 8, 14)
(10379, 128, 135, 12, 19)
(10380, 35, 38, 10, 7)
(10381, 128, 55, 6, 9)
(10382, 120, 17, 12, 3)
(10383, 110, 112, 16, 16)
(10384, 103, 126, 16, 15)
(10385, 35, 62, 4, 22)
(10386, 27, 126, 4, 16)
(10387, 14, 132, 12, 9)
(10388, 27, 132, 6, 10)
(10389, 131, 112, 16, 26)
(10390, 53, 104, 6, 13)
(10391, 11, 55, 4, 22)
(10392, 118, 119, 12, 24)
(10393, 96, 132, 8, 16)
(10394, 102, 86, 4, 3)
(10395, 87, 45, 12, 13)
(10396, 95, 82, 10, 7)
(10397, 139, 70, 6, 22)
(10398, 130, 122, 12, 4)
(10399, 25, 100, 6, 14)
(10400, 9, 62, 4, 14)
(10401, 10, 122, 14, 17)
(10402, 130, 105, 12, 2)
(10403, 33, 123, 14, 21)
(10404, 135, 22, 10, 5)
(10405, 19, 122, 12, 21)
(10406, 60, 132, 4, 15)
(10407, 94, 62, 12, 21)
(10408, 111, 136, 10, 18)
(10409, 21, 91, 4, 28)
(10410, 135, 56, 10, 24)
(10411, 133, 43, 10, 7)
(10412, 84, 104, 12, 5)
(10413, 75, 132, 14, 24)
(10414, 20, 58, 14, 26)
(10415, 16, 118, 12, 7)
(10416, 111, 135, 16, 12)
(10417, 56, 55, 14, 3)
(10418, 91, 113, 10, 22)
(10419, 60, 132, 8, 18)
(10420, 56, 82, 6, 6)
(10421, 14, 33, 10, 28)
(10422, 74, 132, 14, 29)
(10423, 15, 91, 12, 22)
(10424, 31, 79, 16, 15)
(10425, 55, 48, 16, 11)
(10426, 75, 33, 14, 15)
(10427, 108, 118, 16, 11)
(10428, 20, 58, 16, 29)
(10429, 96, 132, 10, 12)
(10430, 34, 37, 4, 26)
(10431, 17, 70, 16, 5)
(10432, 38, 93, 8, 15)
(10433, 57, 126, 8, 27)
(10434, 38, 35, 6, 15)
(10435, 133, 87, 16, 6)
(10436, 118, 82, 12, 14)
(10437, 75, 33, 6, 9)
(10438, 32, 37, 10, 26)
(10439, 44, 4, 6, 11)
(10440, 53, 112, 8, 26)
(10441, 87, 55, 14, 11)
(10442, 75, 117, 12, 17)
(10443, 81, 35, 8, 15)
(10444, 34, 117, 16, 17)
(10445, 105, 72, 12, 29)
(10446, 58, 117, 8, 20)
(10447, 14, 33, 8, 3)
(10448, 111, 45, 16, 5)
(10449, 72, 97, 6, 17)
(10450, 70, 110, 6, 19)
(10451, 62, 9, 14, 23)
(10452, 101, 104, 16, 23)
(10453, 4, 82, 14, 1)
(10454, 51, 118, 16, 21)
(10455, 87, 133, 14, 16)
(10456, 60, 132, 4, 17)
(10457, 77, 93, 4, 23)
(10458, 63, 132, 8, 8)
(10459, 63, 80, 16, 29)
(10460, 64, 112, 12, 7)
(10461, 82, 95, 6, 12)
(10462, 102, 24, 16, 16)
(10463, 139, 13, 8, 21)
(10464, 136, 97, 14, 20)
(10465, 111, 55, 12, 20)
(10466, 37, 38, 8, 3)
(10467, 124, 112, 16, 12)
(10468, 39, 55, 10, 8)
(10469, 6, 133, 14, 16)
(10470, 132, 32, 14, 7)
(10471, 134, 132, 6, 2)
(10472, 140, 30, 8, 26)
(10473, 123, 132, 14, 24)
(10474, 74, 33, 14, 13)
(10475, 11, 113, 16, 5)
(10476, 72, 91, 16, 22)
(10477, 116, 55, 4, 15)
(10478, 96, 132, 12, 15)
(10479, 5, 24, 4, 15)
(10480, 93, 70, 6, 7)
(10481, 77, 80, 12, 10)
(10482, 31, 90, 12, 23)
(10483, 96, 80, 6, 25)
(10484, 9, 75, 4, 1)
(10485, 60, 117, 16, 25)
(10486, 47, 118, 12, 2)
(10487, 25, 29, 16, 16)
(10488, 33, 58, 14, 16)
(10489, 20, 69, 10, 1)
