(1, -1, 5093, 5180, 5189)
(2, 5033, 5161, 5217, -1)
(3, 5167, -1, 5068, 5203)
(4, 5108, 5019, 5039, 5051)
(5, 5210, 5054, 5063, -1)
(6, 5187, 5229, 5231, 5092)
(7, -1, 5052, 5081, 5027)
(8, 5011, 5168, 5103, 5084)
(9, 5002, -1, 5044, 5219)
(10, 5001, 5134, 5101, 5094)
(11, 5178, 5188, 5092, 5138)
(12, 5080, 5162, 5073, 5057)
(13, 5076, -1, 5216, 5225)
(14, 5211, 5221, 5149, -1)
(15, -1, 5116, 5097, 5210)
(16, 5109, 5015, 5184, 5185)
(17, 5116, -1, 5055, 5124)
(18, 5170, 5150, 5165, 5114)
(19, 5176, 5094, 5127, 5157)
(20, 5182, 5062, 5124, 5052)
(21, 5192, 5147, 5054, -1)
(22, 5098, 5026, 5040, 5224)
(23, 5134, 5090, 5203, -1)
(24, 5070, 5156, 5135, -1)
(25, -1, 5104, 5114, 5214)
(26, -1, 5144, 5121, 5129)
(27, 5214, 5194, 5222, -1)
(28, 5086, 5157, 5115, 5202)
(29, 5002, 5180, 5049, -1)
(30, -1, 5150, 5230, 5008)
(31, 5115, 5139, 5087, 5141)
(32, 5035, 5029, 5005, 5112)
(33, 5100, 5000, 5018, -1)
(34, 5216, 5207, 5061, -1)
(35, -1, 5204, 5078, 5142)
(36, 5228, 5044, -1, 5174)
(37, 5204, -1, 5022, 5133)
(38, 5175, 5099, 5095, 5059)
(39, 5212, -1, 5105, 5227)
(40, 5126, 5030, 5222, 5005)
(41, 5208, -1, 5137, 5089)
(42, 5012, 5122, 5154, 5195)
(43, 5013, 5193, 5039, -1)
(44, 5087, -1, 5160, 5179)
(45, 5050, 5123, 5106, 5218)
(46, 5232, 5132, 5079, 5228)
(47, -1, 5179, 5080, 5151)
(48, -1, 5089, 5083, 5077)
(49, 5098, 5120, -1, 5009)
(50, 5231, -1, 5004, -1)
(51, 5118, -1, 5223, 5016)
(52, 5036, 5166, 5125, 5101)
(53, 5200, -1, 5151, 5107)
(54, 5001, 5113, 5175, 5183)
(55, 5021, -1, -1, 5153)
(56, 5096, 5181, 5132, 5187)
(57, 5215, 5209, 5028, 5126)
(58, -1, 5071, 5043, 5171)
(59, 5119, 5091, -1, 5063)
(60, 5047, 5028, 5208, 5212)
(61, -1, 5053, -1, 5017)
(62, 5198, 5065, 5191, -1)
(63, 5035, 5225, 5020, 5095)
(64, -1, 5196, 5000, 5148)
(65, -1, 5142, 5081, 5055)
(66, -1, -1, 5158, 5109)
(67, 5007, 5027, 5078, 5169)
(68, 5038, 5161, 5011, -1)
(69, 5071, -1, 5067, 5199)
(70, 5058, 5140, 5066, -1)
(71, -1, -1, 5046, 5023)
(72, 5213, -1, 5173, 5041)
(73, 5112, 5194, 5165, 5076)
(74, 5088, -1, 5069, 5104)
(75, -1, 5088, 5149, 5186)
(76, 5010, -1, 5118, 5106)
(77, -1, 5043, 5048, 5020)
(78, -1, 5113, 5176, 5064)
(79, 5220, 5108, 5156, 5003)
(80, -1, 5014, 5131, 5022)
(81, 5191, 5230, 5117, -1)
(82, 5082, 5111, -1, 5091)
(83, 5060, 5195, 5226, 5227)
(84, -1, 5145, 5038, 5200)
(85, -1, 5117, 5170, 5069)
(86, 5152, 5193, 5045, -1)
(87, -1, 5072, 5224, 5129)
(88, 5125, -1, 5139, 5127)
(89, 5077, 5103, -1, 5172)
(90, 5056, -1, 5075, 5003)
(91, 5045, 5074, 5174, -1)
(92, 5050, 5164, 5158, 5166)
(93, 5023, 5169, 5133, 5155)
(94, 5219, 5079, 5128, 5189)
(95, 5024, -1, 5120, 5072)
(96, 5064, 5086, -1, 5209)
(97, 5102, 5060, 5037, 5034)
(98, 5074, 5013, 5229, 5232)
(99, 5006, 5121, 5004, 5019)
(100, 5049, 5201, 5100, -1)
(101, 5057, 5182, 5053, 5107)
(102, 5062, 5073, -1, 5097)
(103, 5029, 5099, -1, 5215)
(104, 5171, 5061, 5058, -1)
(105, 5034, 5138, -1, 5144)
(106, 5199, 5177, 5059, 5048)
(107, 5162, 5160, 5185, 5192)
(108, 5141, -1, -1, 5163)
(109, 5093, 5235, 5148, 5201)
(110, -1, 5130, -1, 5085)
(111, 5040, 5012, 5102, -1)
(112, -1, -1, 5066, 5198)
(113, 5234, -1, 5082, 5025)
(114, -1, 5031, 5123, 5036)
(115, 5172, 5178, 5037, 5105)
(116, 5122, 5026, 5206, 5221)
(117, 5018, 5205, 5197, -1)
(118, -1, 5056, 5070, -1)
(119, 5010, 5031, 5068, -1)
(120, 5067, -1, 5167, 5042)
(121, 5119, 5147, 5184, 5025)
(122, 5136, 5075, -1, 5024)
(123, 5154, 5211, -1, 5190)
(124, 5159, 5146, 5168, 5033)
(125, -1, 5135, 5051, 5152)
(126, 5196, 5155, 5131, 5205)
(127, 5065, 5140, 5207, 5008)
(128, 5146, 5096, 5188, -1)
(129, 5177, 5042, 5090, 5183)
(130, 5015, 5164, 5143, 5234)
(131, 5233, -1, 5084, 5083)
(132, 5014, -1, -1, 5197)
(133, 5041, 5223, -1, 5021)
(134, 5190, 5030, 5047, 5226)
(135, 5153, -1, 5111, 5213)
(136, 5016, 5173, 5143, 5218)
(137, 5181, 5159, 5130, 5128)
(138, 5186, 5206, 5009, -1)
(139, 5235, 5085, 5110, -1)
(140, 5046, 5032, 5017, 5007)
(141, 5110, 5217, 5145, 5032)
(142, 5220, 5136, -1, 5006)
(143, 5137, 5202, 5163, 5233)
